count,timestamp,execution_id,log,retries,execution_time,benchmark_duration,download_duration,lr_duration
0,2024-12-12T09:06:00.977463+00:00,dlvvujjw9zcp,Execution finished,0,464.0,,192,266
1,2024-12-12T09:06:02.554764+00:00,dlvvw716ggmj,Execution finished,0,1548.0,,86,1458
2,2024-12-12T09:06:03.082846+00:00,wy3kt8eq1r7x,Execution finished,0,569.0,,202,286
3,2024-12-12T09:06:05.358510+00:00,dlvvb92y5bow,Execution finished,0,1773.0,,95,1676
4,2024-12-12T09:06:06.951263+00:00,dlvvrcmqcu53,Execution finished,0,1572.0,,184,1385
5,2024-12-12T09:06:08.853324+00:00,r0aapqndberr,Execution finished,0,2152.0,,436,1702
6,2024-12-12T09:06:10.327438+00:00,dlvv6mfecbzx,Execution finished,0,1458.0,,180,1275
7,2024-12-12T09:06:11.851855+00:00,r0aae8pmriq4,Execution finished,0,1969.0,,167,1801
8,2024-12-12T09:06:13.169218+00:00,dlvvb08uagoh,Execution finished,0,1300.0,,177,1121
9,2024-12-12T09:06:14.762625+00:00,r0aawwf0yi1h,Execution finished,0,1871.0,,159,1709
10,2024-12-12T09:06:16.194219+00:00,dlvvbf1l32wk,Execution finished,0,1414.0,,75,1338
11,2024-12-12T09:06:17.652878+00:00,r0aam2gb27ml,Execution finished,0,1860.0,,60,1798
12,2024-12-12T09:06:18.949505+00:00,dlvvmu81r93i,Execution finished,0,1277.0,,102,1172
13,2024-12-12T09:06:20.553676+00:00,r0aalr5xyvx3,Execution finished,0,1865.0,,156,1704
14,2024-12-12T09:06:22.366840+00:00,dlvveutrck1g,Execution finished,0,1794.0,,177,1615
15,2024-12-12T09:06:23.458558+00:00,r0aay0eulop9,Execution finished,0,1868.0,,154,1708
16,2024-12-12T09:06:24.178182+00:00,dlvvbyt2fbvx,Execution finished,0,703.0,,75,625
17,2024-12-12T09:06:26.160073+00:00,r0aaxzuja4hy,Execution finished,0,1671.0,,259,1408
18,2024-12-12T09:06:27.767324+00:00,dlvv86zzzdsi,Execution finished,0,1592.0,,77,1513
19,2024-12-12T09:06:29.279959+00:00,r0aax8b6hwti,Execution finished,0,2087.0,,78,1999
20,2024-12-12T09:06:30.044161+00:00,dlvvc6p6rq0k,Execution finished,0,748.0,,65,680
21,2024-12-12T09:06:32.056517+00:00,r0aa9g4dgeyu,Execution finished,0,1747.0,,136,1608
22,2024-12-12T09:06:33.360562+00:00,dlvvoru7693e,Execution finished,0,1288.0,,175,1109
23,2024-12-12T09:06:34.853455+00:00,r0aa04d7jwvi,Execution finished,0,1768.0,,164,1602
24,2024-12-12T09:06:36.497187+00:00,dlvv49s88hp6,Execution finished,0,1626.0,,81,1543
25,2024-12-12T09:06:37.570447+00:00,r0aalkatqi09,Execution finished,0,1681.0,,158,1521
26,2024-12-12T09:06:38.848475+00:00,dlvvap6mm0m3,Execution finished,0,1261.0,,161,1098
27,2024-12-12T09:06:40.157114+00:00,r0aakln7w2o6,Execution finished,0,1557.0,,149,1405
28,2024-12-12T09:06:41.658906+00:00,dlvvd3zvkgmx,Execution finished,0,1484.0,,174,1308
29,2024-12-12T09:06:42.889826+00:00,r0aaqk4af7lt,Execution finished,0,1699.0,,152,1541
30,2024-12-12T09:06:44.054558+00:00,dlvvca6jadbo,Execution finished,0,1146.0,,52,1091
31,2024-12-12T09:06:45.297990+00:00,r0aa2xy1veb4,Execution finished,0,1381.0,,132,1246
32,2024-12-12T09:06:46.952360+00:00,dlvvukucdlgq,Execution finished,0,1639.0,,134,1503
33,2024-12-12T09:06:48.158197+00:00,r0aaj1y8c2jm,Execution finished,0,1795.0,,99,1695
34,2024-12-12T09:06:49.757800+00:00,dlvv52dycfp2,Execution finished,0,1584.0,,173,1408
35,2024-12-12T09:06:50.970304+00:00,r0aa6aivron6,Execution finished,0,1782.0,,82,1697
36,2024-12-12T09:06:52.764995+00:00,dlvv7c9pm73t,Execution finished,0,1779.0,,68,1710
37,2024-12-12T09:06:53.764984+00:00,r0aa3d0o45t2,Execution finished,0,1765.0,,148,1610
38,2024-12-12T09:06:55.365824+00:00,dlvv7rskepss,Execution finished,0,1566.0,,61,1503
39,2024-12-12T09:06:57.072766+00:00,r0aac7jakrt2,Execution finished,0,1691.0,,70,1619
40,2024-12-12T09:06:58.251551+00:00,dlvvxtmfyf5c,Execution finished,0,1858.0,,64,1792
41,2024-12-12T09:07:00.257202+00:00,r0aaictw70on,Execution finished,0,1990.0,,87,1899
42,2024-12-12T09:07:00.786482+00:00,dlvv8c86264l,Execution finished,0,1504.0,,76,1425
43,2024-12-12T09:07:03.049374+00:00,r0aae5acb6r7,Execution finished,0,1759.0,,158,1600
44,2024-12-12T09:07:04.401202+00:00,dlvvmisjyrsh,Execution finished,0,1335.0,,89,1244
45,2024-12-12T09:07:05.781261+00:00,r0aati81r626,Execution finished,0,1690.0,,157,1532
46,2024-12-12T09:07:07.857020+00:00,dlvvva9hx52d,Execution finished,0,2058.0,,149,1907
47,2024-12-12T09:07:08.721128+00:00,r0aaban9bgsy,Execution finished,0,1905.0,,132,1768
